Water_Test_ID,Location_ID,Test_Date,Source_Type,pH,Turbidity_NTU,TDS_mgL,Hardness_mgL,Chloride_mgL,Nitrate_mgL,Arsenic_mgL,Fluoride_mgL,Ecoli_Presence,Test_By
WQT_PAS_HAN_20240102,VLG_PAS_01,2024-01-02,Handpump,7.67,1.77,204.49,234.37,52.14,14.84,0.0067,0.832,False,IoT_Sensor
WQT_GAU_RIV_20240103,VLG_GAU_01,2024-01-03,River,7.05,14.79,206.38,89.56,20.98,5.19,0.0012,0.346,False,IoT_Sensor
WQT_GAU_HAN_20240103,VLG_GAU_01,2024-01-03,Handpump,7.57,2.19,241.11,277.32,0.0,13.26,0.0068,0.505,False,IoT_Sensor
WQT_GAU_PON_20240103,VLG_GAU_01,2024-01-03,Pond,6.86,6.96,230.74,87.13,18.84,8.18,0.0028,0.353,False,IoT_Sensor
WQT_SIL_WEL_20240103,VLG_SIL_01,2024-01-03,Well,7.34,0.0,123.88,142.5,34.2,7.11,0.0045,0.481,False,IoT_Sensor
WQT_SIL_PON_20240103,VLG_SIL_01,2024-01-03,Pond,6.23,10.48,241.5,52.47,10.99,6.26,0.0016,0.362,False,IoT_Sensor
WQT_SIL_HAN_20240103,VLG_SIL_01,2024-01-03,Handpump,7.6,1.74,300.26,304.52,61.43,15.35,0.0241,0.435,False,IoT_Sensor
WQT_AGR_BOR_20240103,VLG_AGR_01,2024-01-03,Borewell,8.09,0.21,664.85,271.84,34.27,9.65,0.0096,0.855,False,IoT_Sensor
WQT_AGR_HAN_20240103,VLG_AGR_01,2024-01-03,Handpump,7.31,0.0,169.88,169.96,27.91,13.06,0.0111,0.786,False,IoT_Sensor
WQT_AGR_RIV_20240103,VLG_AGR_01,2024-01-03,River,7.19,8.99,106.42,121.98,26.66,5.62,0.0014,0.366,True,IoT_Sensor
WQT_KOH_SPR_20240103,VLG_KOH_01,2024-01-03,Spring,7.52,2.34,150.13,82.34,10.34,3.85,0.0001,0.121,False,IoT_Sensor
WQT_KOH_STR_20240103,VLG_KOH_01,2024-01-03,Stream,7.48,6.9,96.02,60.21,11.59,5.59,0.0014,0.257,False,IoT_Sensor
WQT_KOH_TAN_20240103,VLG_KOH_01,2024-01-03,Tanker,7.32,1.35,174.84,73.17,25.18,4.59,0.0015,0.421,False,IoT_Sensor
WQT_SHI_STR_20240103,VLG_SHI_01,2024-01-03,Stream,7.3,7.05,125.55,62.09,11.66,1.45,0.0008,0.112,False,IoT_Sensor
WQT_SHI_RAI_20240103,VLG_SHI_01,2024-01-03,Rainwater Collector,6.13,2.41,40.11,23.45,4.41,1.7,0.0001,0.058,False,IoT_Sensor
WQT_SHI_SPR_20240103,VLG_SHI_01,2024-01-03,Spring,7.22,4.17,92.36,71.78,8.85,4.32,0.0022,0.052,True,IoT_Sensor
WQT_ITN_RIV_20240103,VLG_ITN_01,2024-01-03,River,7.27,5.66,51.26,66.25,17.1,7.18,0.0015,0.409,False,IoT_Sensor
WQT_ITN_GRA_20240103,VLG_ITN_01,2024-01-03,Gravity-fed System,7.54,2.71,89.42,62.18,8.88,4.41,0.0006,0.252,False,IoT_Sensor
WQT_ITN_STR_20240103,VLG_ITN_01,2024-01-03,Stream,7.34,4.9,104.63,89.47,10.98,4.36,0.001,0.23,False,IoT_Sensor
WQT_AIT_PON_20240103,VLG_AIT_01,2024-01-03,Pond,6.54,7.14,246.71,104.36,16.9,9.02,0.0054,0.342,False,IoT_Sensor
WQT_AIT_RIV_20240103,VLG_AIT_01,2024-01-03,River,7.09,10.66,103.02,90.22,18.45,4.68,0.0029,0.233,False,IoT_Sensor
WQT_AIT_WEL_20240103,VLG_AIT_01,2024-01-03,Well,6.83,2.66,313.42,156.57,38.43,16.86,0.0036,0.653,False,IoT_Sensor
WQT_IMF_WEL_20240103,VLG_IMF_01,2024-01-03,Well,7.23,3.34,170.45,187.25,24.16,6.57,0.0089,1.064,False,IoT_Sensor
WQT_IMF_LAK_20240103,VLG_IMF_01,2024-01-03,Lake,7.38,15.33,236.58,89.7,16.54,8.18,0.0039,0.391,False,IoT_Sensor
WQT_IMF_HAN_20240103,VLG_IMF_01,2024-01-03,Handpump,7.75,0.58,504.36,140.78,52.98,3.06,0.0135,0.948,False,IoT_Sensor
WQT_TIN_HAN_20240103,VLG_TIN_01,2024-01-03,Handpump,7.67,2.79,368.77,170.83,66.56,12.06,0.0106,0.86,False,IoT_Sensor
WQT_TIN_BOR_20240103,VLG_TIN_01,2024-01-03,Borewell,7.96,1.05,408.41,226.58,53.64,23.92,0.0209,1.429,False,IoT_Sensor
WQT_TIN_PON_20240103,VLG_TIN_01,2024-01-03,Pond,6.22,13.74,305.94,72.78,10.87,4.13,0.0021,0.388,False,IoT_Sensor
WQT_PAS_RIV_20240103,VLG_PAS_01,2024-01-03,River,7.18,7.6,184.07,53.68,7.64,7.35,0.0007,0.314,False,IoT_Sensor
WQT_PAS_STR_20240103,VLG_PAS_01,2024-01-03,Stream,7.29,12.71,96.23,54.35,11.36,4.14,0.0011,0.025,False,IoT_Sensor
WQT_PAS_HAN_20240103,VLG_PAS_01,2024-01-03,Handpump,7.58,1.44,476.4,141.81,40.21,9.81,0.0123,1.191,False,IoT_Sensor
WQT_GAU_RIV_20240104,VLG_GAU_01,2024-01-04,River,7.41,9.13,206.31,61.17,20.28,6.48,0.0017,0.415,False,IoT_Sensor
WQT_GAU_HAN_20240104,VLG_GAU_01,2024-01-04,Handpump,7.39,0.16,95.32,164.57,47.55,15.81,0.0156,0.6,False,IoT_Sensor
WQT_GAU_PON_20240104,VLG_GAU_01,2024-01-04,Pond,6.89,17.84,273.9,69.64,21.81,9.64,0.0026,0.444,False,IoT_Sensor
WQT_SIL_WEL_20240104,VLG_SIL_01,2024-01-04,Well,6.78,0.78,433.67,147.91,60.31,9.02,0.0047,1.016,False,IoT_Sensor
WQT_SIL_PON_20240104,VLG_SIL_01,2024-01-04,Pond,6.96,10.84,256.51,103.45,12.69,5.37,0.0027,0.247,False,IoT_Sensor
WQT_SIL_HAN_20240104,VLG_SIL_01,2024-01-04,Handpump,7.25,0.0,251.0,194.19,28.86,15.67,0.0182,0.731,False,IoT_Sensor
WQT_AGR_BOR_20240104,VLG_AGR_01,2024-01-04,Borewell,7.6,1.35,381.63,151.48,58.66,16.22,0.0111,0.86,False,IoT_Sensor
WQT_AGR_HAN_20240104,VLG_AGR_01,2024-01-04,Handpump,7.99,1.0,280.75,148.62,22.46,10.39,0.0145,0.811,False,IoT_Sensor
WQT_AGR_RIV_20240104,VLG_AGR_01,2024-01-04,River,7.45,16.68,202.49,106.31,9.84,8.77,0.002,0.356,False,IoT_Sensor
WQT_KOH_SPR_20240104,VLG_KOH_01,2024-01-04,Spring,8.01,4.91,133.02,39.62,7.64,1.93,0.0001,0.311,False,IoT_Sensor
WQT_KOH_STR_20240104,VLG_KOH_01,2024-01-04,Stream,7.16,4.02,73.83,58.78,10.3,3.1,0.0035,0.247,False,IoT_Sensor
WQT_KOH_TAN_20240104,VLG_KOH_01,2024-01-04,Tanker,7.08,0.53,151.92,70.49,16.76,4.47,0.0011,0.429,False,IoT_Sensor
WQT_SHI_STR_20240104,VLG_SHI_01,2024-01-04,Stream,7.57,0.69,100.13,60.98,13.62,2.55,0.0006,0.082,False,IoT_Sensor
WQT_SHI_RAI_20240104,VLG_SHI_01,2024-01-04,Rainwater Collector,6.2,5.63,47.2,40.62,4.44,1.69,0.0017,0.087,False,IoT_Sensor
WQT_SHI_SPR_20240104,VLG_SHI_01,2024-01-04,Spring,7.61,1.65,83.19,67.66,9.41,4.31,0.002,0.241,False,IoT_Sensor
WQT_ITN_RIV_20240104,VLG_ITN_01,2024-01-04,River,7.35,10.9,227.01,66.36,10.78,3.74,0.0026,0.186,False,IoT_Sensor
WQT_ITN_GRA_20240104,VLG_ITN_01,2024-01-04,Gravity-fed System,7.58,3.07,94.4,56.24,11.4,2.67,0.0013,0.029,False,IoT_Sensor
WQT_ITN_STR_20240104,VLG_ITN_01,2024-01-04,Stream,7.14,4.99,128.16,42.03,13.57,3.05,0.0003,0.022,False,IoT_Sensor
WQT_AIT_PON_20240104,VLG_AIT_01,2024-01-04,Pond,7.27,10.95,110.72,116.68,14.52,4.76,0.0044,0.291,False,IoT_Sensor
WQT_AIT_RIV_20240104,VLG_AIT_01,2024-01-04,River,7.45,13.12,217.06,86.17,9.08,4.8,0.004,0.235,False,IoT_Sensor
WQT_AIT_WEL_20240104,VLG_AIT_01,2024-01-04,Well,6.67,0.87,120.14,86.68,43.1,4.88,0.0038,0.193,False,IoT_Sensor
WQT_IMF_WEL_20240104,VLG_IMF_01,2024-01-04,Well,6.68,4.86,194.57,133.62,29.26,12.89,0.0056,0.386,False,IoT_Sensor
WQT_IMF_LAK_20240104,VLG_IMF_01,2024-01-04,Lake,7.29,7.08,149.86,95.64,10.92,3.51,0.003,0.312,False,IoT_Sensor
WQT_IMF_HAN_20240104,VLG_IMF_01,2024-01-04,Handpump,7.76,0.52,147.04,128.72,61.81,13.47,0.023,0.564,False,IoT_Sensor
WQT_TIN_HAN_20240104,VLG_TIN_01,2024-01-04,Handpump,7.75,2.63,185.54,162.91,39.89,10.98,0.0222,1.01,False,IoT_Sensor
WQT_TIN_BOR_20240104,VLG_TIN_01,2024-01-04,Borewell,7.81,0.74,368.47,154.34,60.83,20.65,0.0227,1.022,False,IoT_Sensor
WQT_TIN_PON_20240104,VLG_TIN_01,2024-01-04,Pond,6.73,9.39,185.27,100.62,23.08,8.92,0.0032,0.364,True,IoT_Sensor
WQT_PAS_RIV_20240104,VLG_PAS_01,2024-01-04,River,6.77,3.48,177.23,60.44,6.56,5.15,0.0031,0.334,False,IoT_Sensor
WQT_PAS_STR_20240104,VLG_PAS_01,2024-01-04,Stream,7.35,8.49,103.6,94.42,15.27,3.11,0.0021,0.172,False,IoT_Sensor
WQT_PAS_HAN_20240104,VLG_PAS_01,2024-01-04,Handpump,7.67,1.22,431.31,207.37,34.37,8.79,0.0205,0.581,True,IoT_Sensor
WQT_GAU_RIV_20240105,VLG_GAU_01,2024-01-05,River,7.1,13.67,210.09,69.49,7.26,0.72,0.002,0.352,False,IoT_Sensor
WQT_GAU_HAN_20240105,VLG_GAU_01,2024-01-05,Handpump,7.39,2.65,278.46,207.05,30.0,3.43,0.0093,0.57,False,IoT_Sensor
WQT_GAU_PON_20240105,VLG_GAU_01,2024-01-05,Pond,6.86,7.67,208.98,136.04,33.45,9.95,0.0016,0.388,True,IoT_Sensor
WQT_SIL_WEL_20240105,VLG_SIL_01,2024-01-05,Well,6.38,1.45,199.44,167.42,18.41,13.29,0.0033,0.399,False,IoT_Sensor
WQT_SIL_PON_20240105,VLG_SIL_01,2024-01-05,Pond,6.38,7.43,143.6,83.39,22.78,9.12,0.0048,0.59,False,IoT_Sensor
WQT_SIL_HAN_20240105,VLG_SIL_01,2024-01-05,Handpump,7.75,0.39,319.47,167.3,51.18,10.08,0.0083,1.173,False,IoT_Sensor
WQT_AGR_BOR_20240105,VLG_AGR_01,2024-01-05,Borewell,7.91,0.49,442.9,158.4,29.5,10.54,0.0458,0.934,False,IoT_Sensor
WQT_AGR_HAN_20240105,VLG_AGR_01,2024-01-05,Handpump,7.53,0.81,274.05,202.75,53.56,9.3,0.0181,0.846,True,IoT_Sensor
WQT_AGR_RIV_20240105,VLG_AGR_01,2024-01-05,River,7.59,8.64,68.89,61.43,12.86,4.82,0.0,0.413,False,IoT_Sensor
WQT_KOH_SPR_20240105,VLG_KOH_01,2024-01-05,Spring,7.55,4.2,111.21,45.38,9.3,2.98,0.0026,0.002,False,IoT_Sensor
WQT_KOH_STR_20240105,VLG_KOH_01,2024-01-05,Stream,6.95,0.28,105.09,53.23,6.94,6.59,0.0014,0.224,False,IoT_Sensor
WQT_KOH_TAN_20240105,VLG_KOH_01,2024-01-05,Tanker,7.0,0.02,141.63,87.76,33.53,7.48,0.0011,0.58,False,IoT_Sensor
WQT_SHI_STR_20240105,VLG_SHI_01,2024-01-05,Stream,6.72,5.48,3.25,91.53,9.27,5.34,0.0022,0.09,False,IoT_Sensor
WQT_SHI_RAI_20240105,VLG_SHI_01,2024-01-05,Rainwater Collector,6.54,2.95,27.74,7.21,3.32,1.21,0.0005,0.127,False,IoT_Sensor
WQT_SHI_SPR_20240105,VLG_SHI_01,2024-01-05,Spring,7.71,1.65,76.8,65.63,10.0,3.39,0.0017,0.237,False,IoT_Sensor
WQT_ITN_RIV_20240105,VLG_ITN_01,2024-01-05,River,7.01,6.67,222.57,58.09,21.27,4.43,0.0036,0.13,False,IoT_Sensor
WQT_ITN_GRA_20240105,VLG_ITN_01,2024-01-05,Gravity-fed System,7.6,2.93,92.22,71.13,11.06,2.19,0.0014,0.198,False,IoT_Sensor
WQT_ITN_STR_20240105,VLG_ITN_01,2024-01-05,Stream,7.22,7.63,140.39,51.92,19.21,6.38,0.0013,0.167,False,IoT_Sensor
WQT_AIT_PON_20240105,VLG_AIT_01,2024-01-05,Pond,6.58,13.42,144.14,97.31,22.52,14.77,0.0021,0.272,False,IoT_Sensor
WQT_AIT_RIV_20240105,VLG_AIT_01,2024-01-05,River,7.28,8.65,179.14,106.62,10.41,6.36,0.0024,0.41,False,IoT_Sensor
WQT_AIT_WEL_20240105,VLG_AIT_01,2024-01-05,Well,7.06,1.45,226.62,106.89,27.1,12.8,0.0068,0.733,False,IoT_Sensor
WQT_IMF_WEL_20240105,VLG_IMF_01,2024-01-05,Well,6.85,1.92,313.09,0.0,46.69,9.12,0.0069,1.098,False,IoT_Sensor
WQT_IMF_LAK_20240105,VLG_IMF_01,2024-01-05,Lake,6.61,7.99,240.36,67.65,12.19,10.74,0.0029,0.344,False,IoT_Sensor
WQT_IMF_HAN_20240105,VLG_IMF_01,2024-01-05,Handpump,7.21,1.14,218.55,78.5,57.34,10.94,0.0112,0.651,False,IoT_Sensor
WQT_TIN_HAN_20240105,VLG_TIN_01,2024-01-05,Handpump,7.87,0.0,187.89,229.53,68.63,20.06,0.0171,0.058,False,IoT_Sensor
WQT_TIN_BOR_20240105,VLG_TIN_01,2024-01-05,Borewell,8.03,0.53,355.84,257.76,42.3,19.91,0.0202,0.991,False,IoT_Sensor
WQT_TIN_PON_20240105,VLG_TIN_01,2024-01-05,Pond,6.68,17.14,187.93,130.8,12.98,11.5,0.0022,0.499,False,IoT_Sensor
WQT_PAS_RIV_20240105,VLG_PAS_01,2024-01-05,River,6.99,9.54,178.63,61.66,7.0,4.29,0.0026,0.31,True,IoT_Sensor
WQT_PAS_STR_20240105,VLG_PAS_01,2024-01-05,Stream,6.95,8.54,125.72,65.88,13.66,6.03,0.0005,0.104,False,IoT_Sensor
WQT_PAS_HAN_20240105,VLG_PAS_01,2024-01-05,Handpump,7.49,1.22,519.55,166.6,31.09,7.18,0.012,0.989,False,IoT_Sensor
WQT_GAU_RIV_20240106,VLG_GAU_01,2024-01-06,River,7.46,7.09,221.11,84.54,8.45,5.79,0.0014,0.376,False,IoT_Sensor
WQT_GAU_HAN_20240106,VLG_GAU_01,2024-01-06,Handpump,7.52,0.0,392.86,137.34,47.53,14.4,0.018,0.362,False,IoT_Sensor
WQT_GAU_PON_20240106,VLG_GAU_01,2024-01-06,Pond,6.63,9.63,220.99,139.87,12.2,8.25,0.003,0.485,False,IoT_Sensor
WQT_SIL_WEL_20240106,VLG_SIL_01,2024-01-06,Well,6.91,3.51,246.13,133.4,35.72,10.73,0.0068,0.559,False,IoT_Sensor
WQT_SIL_PON_20240106,VLG_SIL_01,2024-01-06,Pond,7.21,19.59,292.23,126.75,21.15,5.83,0.0036,0.374,False,IoT_Sensor
WQT_SIL_HAN_20240106,VLG_SIL_01,2024-01-06,Handpump,7.64,2.06,119.84,154.93,68.31,18.5,0.0217,1.026,False,IoT_Sensor
WQT_AGR_BOR_20240106,VLG_AGR_01,2024-01-06,Borewell,7.53,0.48,410.52,271.12,55.23,15.95,0.0292,0.644,False,IoT_Sensor
WQT_AGR_HAN_20240106,VLG_AGR_01,2024-01-06,Handpump,7.82,1.11,224.88,235.44,37.54,16.96,0.0208,0.552,False,IoT_Sensor
WQT_AGR_RIV_20240106,VLG_AGR_01,2024-01-06,River,6.91,9.15,101.58,75.98,7.48,9.67,0.0021,0.332,False,IoT_Sensor
WQT_KOH_SPR_20240106,VLG_KOH_01,2024-01-06,Spring,7.42,0.83,124.02,60.72,13.64,2.73,0.0007,0.008,False,IoT_Sensor
WQT_KOH_STR_20240106,VLG_KOH_01,2024-01-06,Stream,7.11,5.79,183.94,65.75,4.36,4.38,0.0024,0.177,False,IoT_Sensor
WQT_KOH_TAN_20240106,VLG_KOH_01,2024-01-06,Tanker,7.22,0.98,150.6,67.62,20.28,5.92,0.001,0.454,False,IoT_Sensor
WQT_SHI_STR_20240106,VLG_SHI_01,2024-01-06,Stream,7.04,8.15,76.34,90.81,8.09,2.78,0.0013,0.233,False,IoT_Sensor
WQT_SHI_RAI_20240106,VLG_SHI_01,2024-01-06,Rainwater Collector,6.5,2.85,39.87,16.56,4.27,1.3,0.0019,0.097,False,IoT_Sensor
WQT_SHI_SPR_20240106,VLG_SHI_01,2024-01-06,Spring,7.68,3.33,56.72,81.23,5.39,3.42,0.0003,0.337,False,IoT_Sensor
WQT_ITN_RIV_20240106,VLG_ITN_01,2024-01-06,River,7.66,4.16,89.86,84.74,20.23,2.39,0.002,0.441,False,IoT_Sensor
WQT_ITN_GRA_20240106,VLG_ITN_01,2024-01-06,Gravity-fed System,7.3,6.34,113.77,33.88,10.8,3.53,0.0014,0.197,False,IoT_Sensor
WQT_ITN_STR_20240106,VLG_ITN_01,2024-01-06,Stream,7.24,9.18,108.22,54.81,12.38,4.47,0.0014,0.244,False,IoT_Sensor
WQT_AIT_PON_20240106,VLG_AIT_01,2024-01-06,Pond,7.25,4.08,143.74,131.86,21.75,7.05,0.0029,0.457,False,IoT_Sensor
WQT_AIT_RIV_20240106,VLG_AIT_01,2024-01-06,River,7.06,7.2,132.53,68.49,19.59,4.81,0.001,0.394,False,IoT_Sensor
